book,open_date,pnl,DoW,Intraday_Move_OpenToEntry_11,Intraday_Move_OpenToEntry_1515,L1_SPX_ATR_Pct,L1_SPX_Drawdown_Pct,L1_TS,L1_VIX_Close,L1_VIX_pct,L1_rv20,L1_rv5,L1_vvix_above_ema20,L1_vvix_above_ema30,L1_vvix_close,L1_vvix_ema20,L1_vvix_ema30,L1_vvix_pct,VIX_Entry_11,VIX_Entry_1515,closing_vix,gap,movement,opening_vix,t0_VIX_change_from_close_11,t0_VIX_change_from_close_15
CALLS_0DTE_11,2024-04-19,795.0,nan,-4.78,-36.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.5,18.9,nan,-5.68,-4.78,nan,nan,nan
CALLS_0DTE_11,2024-04-22,-600.0,nan,-10.58,39.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.1,16.82,nan,20.1,24.3,nan,nan,nan
CALLS_0DTE_11,2024-04-23,590.0,nan,38.83,41.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.26,15.78,nan,18.25,38.83,nan,nan,nan
CALLS_0DTE_11,2024-04-24,570.0,nan,-17.1,-17.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,15.82,nan,14.31,-17.1,nan,nan,nan
CALLS_0DTE_11,2024-04-25,-2275.0,nan,-20.43,29.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.14,16.08,nan,-51.75,-20.43,nan,nan,nan
CALLS_0DTE_11,2024-04-26,715.0,nan,18.93,24.79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.34,14.98,nan,36.23,18.93,nan,nan,nan
CALLS_0DTE_11,2024-04-29,5738.0,nan,-0.12,-16.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.95,15.04,nan,14.17,-10.76,nan,nan,nan
CALLS_0DTE_11,2024-04-30,530.0,nan,-1.92,-38.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.81,15.23,nan,-12.39,-1.92,nan,nan,nan
CALLS_0DTE_11,2024-05-01,1185.0,nan,-1.16,59.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.75,14.55,nan,-6.66,-1.16,nan,nan,nan
CALLS_0DTE_11,2024-05-02,-1025.0,nan,-10.67,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.08,14.84,nan,30.93,-10.67,nan,nan,nan
CALLS_0DTE_11,2024-05-03,-659.0,nan,-16.3,7.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.03,13.61,nan,58.58,-16.3,nan,nan,nan
CALLS_0DTE_11,2024-05-06,8510.0,nan,15.5,23.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.83,13.65,nan,14.63,23.0,nan,nan,nan
CALLS_0DTE_11,2024-05-07,465.0,nan,8.63,-1.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.49,13.31,nan,6.46,8.63,nan,nan,nan
CALLS_0DTE_11,2024-05-08,385.0,nan,20.01,16.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.19,13.04,nan,-18.72,20.01,nan,nan,nan
CALLS_0DTE_11,2024-05-09,-478.0,nan,15.92,22.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.09,12.86,nan,1.36,15.92,nan,nan,nan
CALLS_0DTE_11,2024-05-10,112.0,nan,-7.82,-4.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.83,12.62,nan,11.41,-7.82,nan,nan,nan
CALLS_0DTE_11,2024-05-13,-531.0,nan,-7.57,-10.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.38,13.54,nan,10.4,-10.83,nan,nan,nan
CALLS_0DTE_11,2024-05-14,-718.0,nan,8.42,23.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.58,13.35,nan,-0.32,8.42,nan,nan,nan
CALLS_0DTE_11,2024-05-15,-1475.0,nan,19.86,37.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.73,12.58,nan,16.58,19.86,nan,nan,nan
CALLS_0DTE_11,2024-05-16,365.0,nan,13.78,0.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.36,12.37,nan,1.92,13.78,nan,nan,nan
CALLS_0DTE_11,2024-05-17,103.0,nan,-1.66,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.33,11.94,nan,6.0,-1.66,nan,nan,nan
CALLS_0DTE_11,2024-05-20,-3385.0,nan,16.79,7.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.3,12.25,nan,2.08,4.38,nan,nan,nan
